iteracao,arquivo,n,target,found,duracao
1,data/subset_pequeno.txt,5,72,0,0.000024
1,data/subset_medio.txt,15,525,1,0.000665
1,data/subset_grande.txt,25,757,1,0.064824
2,data/subset_pequeno.txt,5,39,0,0.000020
2,data/subset_medio.txt,15,228,1,0.000742
2,data/subset_grande.txt,25,893,1,0.248077
3,data/subset_pequeno.txt,5,86,0,0.000021
3,data/subset_medio.txt,15,321,1,0.000395
3,data/subset_grande.txt,25,96,1,0.002577
4,data/subset_pequeno.txt,5,43,0,0.000020
4,data/subset_medio.txt,15,40,1,0.001674
4,data/subset_grande.txt,25,1087,1,3.225115
5,data/subset_pequeno.txt,5,78,0,0.000020
5,data/subset_medio.txt,15,35,0,0.050528
5,data/subset_grande.txt,25,1168,1,8.211812
6,data/subset_pequeno.txt,5,185,0,0.000021
6,data/subset_medio.txt,15,164,1,0.000035
6,data/subset_grande.txt,25,814,1,0.075848
7,data/subset_pequeno.txt,5,280,0,0.000020
7,data/subset_medio.txt,15,427,1,0.000260
7,data/subset_grande.txt,25,1399,1,69.169634
8,data/subset_pequeno.txt,5,159,0,0.000021
8,data/subset_medio.txt,15,22,0,0.061150
8,data/subset_grande.txt,25,1056,1,1.178418
9,data/subset_pequeno.txt,5,148,1,0.000010
9,data/subset_medio.txt,15,351,1,0.000206
9,data/subset_grande.txt,25,745,1,0.056915
10,data/subset_pequeno.txt,5,253,0,0.000020
10,data/subset_medio.txt,15,388,1,0.000439
10,data/subset_grande.txt,25,1106,1,4.831720
11,data/subset_pequeno.txt,5,286,0,0.000020
11,data/subset_medio.txt,15,711,0,0.051515
11,data/subset_grande.txt,25,1487,0,81.751664
12,data/subset_pequeno.txt,5,241,0,0.000032
12,data/subset_medio.txt,15,170,1,0.000083
12,data/subset_grande.txt,25,164,1,0.000067
13,data/subset_pequeno.txt,5,176,0,0.000099
13,data/subset_medio.txt,15,255,1,0.000211
13,data/subset_grande.txt,25,284,1,0.000305
14,data/subset_pequeno.txt,5,221,0,0.000020
14,data/subset_medio.txt,15,90,1,0.001326
14,data/subset_grande.txt,25,655,1,0.019425
15,data/subset_pequeno.txt,5,270,0,0.000050
15,data/subset_medio.txt,15,447,1,0.004217
15,data/subset_grande.txt,25,1039,1,2.515651
16,data/subset_pequeno.txt,5,261,0,0.000021
16,data/subset_medio.txt,15,536,1,0.003343
16,data/subset_grande.txt,25,477,1,0.001474
17,data/subset_pequeno.txt,5,266,0,0.000022
17,data/subset_medio.txt,15,333,1,0.000158
17,data/subset_grande.txt,25,700,1,0.037186
18,data/subset_pequeno.txt,5,213,0,0.000020
18,data/subset_medio.txt,15,12,1,0.000687
18,data/subset_grande.txt,25,1117,1,3.801314
19,data/subset_pequeno.txt,5,262,0,0.000021
19,data/subset_medio.txt,15,515,1,0.001938
19,data/subset_grande.txt,25,732,1,0.035847
20,data/subset_pequeno.txt,5,265,0,0.000020
20,data/subset_medio.txt,15,698,0,0.055226
20,data/subset_grande.txt,25,0,1,0.000005
21,data/subset_pequeno.txt,5,44,0,0.000032
21,data/subset_medio.txt,15,159,1,0.001100
21,data/subset_grande.txt,25,755,1,0.020267
22,data/subset_pequeno.txt,5,145,0,0.000022
22,data/subset_medio.txt,15,576,1,0.007301
22,data/subset_grande.txt,25,108,1,0.000986
23,data/subset_pequeno.txt,5,40,0,0.000051
23,data/subset_medio.txt,15,419,1,0.001282
23,data/subset_grande.txt,25,1074,1,3.155660
24,data/subset_pequeno.txt,5,77,0,0.000020
24,data/subset_medio.txt,15,632,1,0.005495
24,data/subset_grande.txt,25,551,1,0.009845
25,data/subset_pequeno.txt,5,24,0,0.000021
25,data/subset_medio.txt,15,133,1,0.000828
25,data/subset_grande.txt,25,600,1,0.015002
26,data/subset_pequeno.txt,5,217,0,0.000021
26,data/subset_medio.txt,15,274,1,0.001146
26,data/subset_grande.txt,25,54,1,0.630842
27,data/subset_pequeno.txt,5,126,0,0.000022
27,data/subset_medio.txt,15,257,1,0.000168
27,data/subset_grande.txt,25,997,1,0.856659
28,data/subset_pequeno.txt,5,11,0,0.000020
28,data/subset_medio.txt,15,54,1,0.000663
28,data/subset_grande.txt,25,212,1,0.001403
29,data/subset_pequeno.txt,5,240,1,0.000018
29,data/subset_medio.txt,15,377,1,0.000590
29,data/subset_grande.txt,25,488,1,0.004347
30,data/subset_pequeno.txt,5,113,0,0.000032
30,data/subset_medio.txt,15,624,1,0.020087
30,data/subset_grande.txt,25,30,1,0.000193
31,data/subset_pequeno.txt,5,300,0,0.000019
31,data/subset_medio.txt,15,325,1,0.000829
31,data/subset_grande.txt,25,449,1,0.002921
32,data/subset_pequeno.txt,5,57,1,0.000010
32,data/subset_medio.txt,15,534,1,0.001868
32,data/subset_grande.txt,25,1244,1,10.613137
33,data/subset_pequeno.txt,5,66,0,0.000029
33,data/subset_medio.txt,15,301,1,0.000276
33,data/subset_grande.txt,25,553,1,0.008406
34,data/subset_pequeno.txt,5,49,0,0.000020
34,data/subset_medio.txt,15,562,1,0.003273
34,data/subset_grande.txt,25,1440,1,86.960297
35,data/subset_pequeno.txt,5,296,0,0.000033
35,data/subset_medio.txt,15,335,1,0.000633
35,data/subset_grande.txt,25,1258,1,19.002348
36,data/subset_pequeno.txt,5,27,0,0.000051
36,data/subset_medio.txt,15,276,1,0.000253
36,data/subset_grande.txt,25,42,1,0.000181
37,data/subset_pequeno.txt,5,154,0,0.000020
37,data/subset_medio.txt,15,571,1,0.004072
37,data/subset_grande.txt,25,1303,1,35.662057
38,data/subset_pequeno.txt,5,13,0,0.000022
38,data/subset_medio.txt,15,532,1,0.003641
38,data/subset_grande.txt,25,936,1,0.332536
39,data/subset_pequeno.txt,5,0,1,0.000013
39,data/subset_medio.txt,15,439,1,0.001249
39,data/subset_grande.txt,25,147,1,0.001257
40,data/subset_pequeno.txt,5,237,0,0.000020
40,data/subset_medio.txt,15,250,1,0.000953
40,data/subset_grande.txt,25,1323,1,19.737695
41,data/subset_pequeno.txt,5,114,0,0.000033
41,data/subset_medio.txt,15,201,1,0.000745
41,data/subset_grande.txt,25,917,1,0.446324
42,data/subset_pequeno.txt,5,53,0,0.000021
42,data/subset_medio.txt,15,46,1,0.000006
42,data/subset_grande.txt,25,996,1,0.517485
43,data/subset_pequeno.txt,5,190,0,0.000021
43,data/subset_medio.txt,15,441,1,0.002934
43,data/subset_grande.txt,25,817,1,0.150126
44,data/subset_pequeno.txt,5,55,0,0.000021
44,data/subset_medio.txt,15,496,1,0.003937
44,data/subset_grande.txt,25,889,1,0.074581
45,data/subset_pequeno.txt,5,180,0,0.000022
45,data/subset_medio.txt,15,185,1,0.000030
45,data/subset_grande.txt,25,516,1,0.001972
46,data/subset_pequeno.txt,5,53,0,0.000021
46,data/subset_medio.txt,15,314,1,0.000438
46,data/subset_grande.txt,25,134,1,0.000221
47,data/subset_pequeno.txt,5,224,0,0.000020
47,data/subset_medio.txt,15,593,1,0.011454
47,data/subset_grande.txt,25,1344,1,39.353088
48,data/subset_pequeno.txt,5,265,0,0.000021
48,data/subset_medio.txt,15,592,1,0.003867
48,data/subset_grande.txt,25,377,1,0.000632
49,data/subset_pequeno.txt,5,124,0,0.000021
49,data/subset_medio.txt,15,621,1,0.019277
49,data/subset_grande.txt,25,1274,1,19.355754
50,data/subset_pequeno.txt,5,47,0,0.000021
50,data/subset_medio.txt,15,228,1,0.000766
50,data/subset_grande.txt,25,1423,1,60.520176
